"","Study_ID","First_author","Year_published","ES_ID","Common_species","Strain","Strain_notes","Sex","Housing","Notes_housing","Age_EE_exposure","Notes_age_EE_exposure","Age_stress_exposure","Notes_age_stress_exposure","Age_assay","Notes_age_assay","Type_EE_exposure","Type_EE_details","EE_exercise","EE_social","Type_stress_exposure","Type_stress_details","Stress_duration","Notes_stress_duration","Exposure_order","Learning_vs_memory","Type_assay","Type_reinforcement","Response_assay_name","Response_details","Response_unit","Response_percent","Response_notes","Response_direction","Data_location","CC_n","CC_mean","CC_median","CC_SD","CC_SE","CC_25thpercentile","CC_75thpercentile","EC_n","EC_mean","EC_median","EC_SD","EC_SE","EC_25thpercentile","EC_75thpercentile","CS_n","CS_mean","CS_median","CS_SD","CS_SE","CS_25thpercentile","CS_7thpercentile","ES_n","ES_mean","ES_median","ES_SD","ES_SE","ES_25thpercentile","ES_75thoercentile","Original_names","ROB_blinding","Blinding_notes","ROB_randomisation","Randomisation_notes","Contact_author","Date_contacted","Author_response","General_comments","Stats_comments","lnRR_E","lnRRV_E","lnRR_S","lnRRV_S","lnRR_ES","lnRRV_ES","SMD_E","SMDV_E","SMD_S","SMDV_S","SMD_ES","SMDV_ES","lnRR_E2","lnRRV_E2","lnRR_S2","lnRRV_S2","lnRR_ES2","lnRRV_ES2","lnRR_E3","lnRRV_E3","lnRR_S3","lnRRV_S3","lnRR_Ea","lnRR_Sa","lnRR_ESa","lnRR_E2a","lnRR_S2a","lnRR_ES2a","lnRR_E3a","lnRR_S3a","SMD_Ea","SMD_Sa","SMD_ESa"
"11",19,"Gaun",2021,57,"Rat","Wistar",NA,"Mixed",3,NA,"Adolescent","PND 21","Prenatal",NA,"Adolescent","PND 50","Combination","objects, wheel. Complexity","Exercise","Social","Combination","CUMS","Chronic",NA,"Stress first","Learning","Recognition","Not applicable","y-maze novel arm","Number of required training","count","no",NA,2,"Fig. 6a",16,19.77,NA,2.42,NA,NA,NA,16,16.91,NA,5.28,NA,NA,NA,16,29.43,NA,4.53,NA,NA,NA,16,20.53,NA,6.2,NA,NA,NA,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.273153971888871,0.00363799088834815,0.308991037869113,0.00363799088834815,-0.203866856942502,0.014210829031684,-1.22145515724078,11.9981216092009,1.37933031361884,11.9981216092009,-1.25469203226774,0.261655880477735,-0.156260474272036,0.00702989109157044,0.397848925062856,0.00241727590240281,0.0377215938483171,0.00663661731065357,-0.360127331214539,0.00718093794011354,0.193982068120353,0.0117935531292812,0.273153971888871,-0.308991037869113,0.203866856942502,0.156260474272036,-0.397848925062856,-0.0377215938483171,0.360127331214539,-0.193982068120353,1.22145515724078,-1.37933031361884,1.25469203226774
"12",22,"Molina",2019,63,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 7","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for one day","Stress first","Learning","Habituation","Not applicable","Open field habituation","Number of lines crossed","count","no","Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 3a",7,60.82,NA,23.37073,"9.36,  8.19",NA,NA,7,63.15,NA,32.75501,"14.04, 9.35",NA,NA,7,31.58,NA,24.55,"3.5, 10.52",NA,NA,7,35.09,NA,25.338,"8.19, 10.53",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.0612864857511939,0.0446080424935976,-0.620284524220087,0.0446080424935976,0.0677980142203465,0.220347981200175,0.109129363621062,0.184539405872325,-1.07073844785733,0.184539405872325,0.0441002222852238,0.571641236035792,0.0375941665472812,0.0595273143063967,-0.655394673421723,0.107427513778802,-0.550002492654095,0.0955806424304747,0.105392180767628,0.160820666893778,-0.587596659201376,0.112920467421372,0.0612864857511939,-0.620284524220087,0.0677980142203465,0.0375941665472812,-0.655394673421723,-0.550002492654095,0.105392180767628,-0.587596659201376,0.109129363621062,-1.07073844785733,0.0441002222852238
"13",22,"Molina",2019,64,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 7","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for 5 days","Stress first","Learning","Habituation","Not applicable","Open field habituation","Number of lines crossed","count","no","Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 3b",7,38.59,NA,31.39925,"10.53, 12.86",NA,NA,7,50.29,NA,23.37073,"9.36, 8.19",NA,NA,7,42.1,NA,24.15484,"5.85, 10.52",NA,NA,7,54.97,NA,25.338,"10.53, 8.19",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.265818828065218,0.0497542940370039,0.0881452223927601,0.0497542940370039,0.00192676654988722,0.202809594712142,0.467887596496085,0.909072953199235,0.155962532165362,0.909072953199235,0.0445607234758177,0.575337835767051,0.264813074634346,0.12543017440947,0.0870545651388084,0.141605052582015,0.353794406323042,0.124930727592667,0.266739841184233,0.0773794203026719,0.0889813316886956,0.0612045421301272,0.265818828065218,0.0881452223927601,0.00192676654988722,0.264813074634346,0.0870545651388084,0.353794406323042,0.266739841184233,0.0889813316886956,0.467887596496085,0.155962532165362,0.0445607234758177
"14",22,"Molina",2019,65,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 15","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for one day","Stress first","Learning","Habituation","Not applicable","Open field habituation","Number of lines crossed","count","no","Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 4a",7,52.55,NA,47.47686,"20.7,  11.15",NA,NA,7,92.35,NA,36.74032,"15.93, 9.55",NA,NA,7,15.92,NA,19.30371,"6.37, 7.96",NA,NA,7,41.4,NA,19.30371,"7.96,  6.37",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.669576692643145,0.0937957097930176,-0.927394246366665,0.0937957097930176,0.391884091092743,0.380313034305087,0.989867269859503,3.57228738464402,-1.3280112667631,3.57228738464402,-0.434280003198165,0.588925664498913,0.563820609322288,0.139216593113556,-1.19418891690672,0.326643663707404,-0.238484216491691,0.147664561437619,0.955704700415032,0.241096441191531,-0.80230482581398,0.0536693705976823,0.669576692643145,-0.927394246366665,0.391884091092743,0.563820609322288,-1.19418891690672,-0.238484216491691,0.955704700415032,-0.80230482581398,0.989867269859503,-1.3280112667631,-0.434280003198165
"15",22,"Molina",2019,66,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND15","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for 5 days","Stress first","Learning","Habituation","Not applicable","Open field habituation","Number of lines crossed","count","no","Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 4b",7,55.74,NA,55.72501,"23.88, 15.93",NA,NA,7,41.4,NA,29.19101,"12.74 , 6.37",NA,NA,7,76.43,NA,55.72,"23.88, 15.92",NA,NA,7,55.73,NA,29.19101,"12.74, 6.37",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,-0.308038685355477,0.076590224718404,0.307860072855069,0.076590224718404,-0.0184395464508147,0.328924665939691,-0.393876339919365,0.685842141876107,0.393651524656854,0.685842141876107,-0.14298250695703,0.574198903056219,-0.297417141222533,0.213803399977683,0.315677267200991,0.218707354582809,-0.000179420472356639,0.181974545092963,-0.315856687673348,0.115121265962008,0.297237720750176,0.110217311356882,-0.308038685355477,0.307860072855069,-0.0184395464508147,-0.297417141222533,0.315677267200991,-0.000179420472356639,-0.315856687673348,0.297237720750176,-0.393876339919365,0.393651524656854,-0.14298250695703
"16",24,"Shilpa",2017,73,"Rat","Wistar",NA,"Male",3,NA,"Adult","2 to 2.5months","Adult","2 to 2.5months","Adult",NA,"Combination","Bedding, objects","No exercise","Social","Restraint",NA,"Chronic",NA,"Concurrently","Learning","Conditioning","Appetitive","Radial arm maze","Number of errors","count","no","Trial 8",2,"Fig. 5b",15,1,NA,0.62,"0.16",NA,NA,15,0.58,NA,0.5,"0.13",NA,NA,15,2.45,NA,1.39,"0.36",NA,NA,15,0.86,NA,0.58,"0.15",NA,NA,"CC = control, EC = EE, CS = CIS, ES = CIS + EE",3,NA,1,NA,NA,NA,NA,"Cant see error bars on number of correct choices (Fig. 5a) but this should be highly negatively correlated with number of errors",NA,-0.873731117455359,0.0318277458828288,0.739523342350096,0.0318277458828288,-0.502183738849547,0.126952393636369,-1.17972292715266,10.5047630530389,1.01538341491249,10.5047630530389,-1.37340878086429,0.278264551540414,-0.544727175441672,0.0751708600871978,0.896088024556636,0.0470855032625295,-0.150822889734584,0.0559493636199748,-1.04691091429122,0.0517815335491709,0.393904285707088,0.0798668903738392,0.873731117455359,-0.739523342350096,0.502183738849547,0.544727175441672,-0.896088024556636,0.150822889734584,1.04691091429122,-0.393904285707088,1.17972292715266,-1.01538341491249,1.37340878086429
"17",24,"Shilpa",2017,74,"Rat","Wistar",NA,"Male",3,NA,"Adult","2 to 2.5months","Adult","2 to 2.5months","Adult",NA,"Combination","Bedding, objects","No exercise","Social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Conditioning","Appetitive","Radial arm maze","Number of errors","count","no","Trial 8",2,"Fig. 5c",15,0.99,NA,0.66,"0.17",NA,NA,15,0.6,NA,0.5,"0.13",NA,NA,15,2.46,NA,0.89,"0.23",NA,NA,15,0.87,NA,0.54,"0.14",NA,NA,"CC = control, EC = EE, CS = CIS, ES = CIS + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.853111830252623,0.0235855137840621,0.739238287760212,0.0235855137840621,-0.53864812936529,0.110335702730595,-1.48855351129296,16.6851033365361,1.30812278265139,16.6851033365361,-1.80430728641571,0.285131596299855,-0.500775287912489,0.0759259259259259,0.910211685797773,0.0383556965650957,-0.129211731480006,0.055313339498833,-1.03942341727778,0.0344097768046694,0.371563556432483,0.0719800061654996,0.853111830252623,-0.739238287760212,0.53864812936529,0.500775287912489,-0.910211685797773,0.129211731480006,1.03942341727778,-0.371563556432483,1.48855351129296,-1.30812278265139,1.80430728641571
"18",26,"Veena",2009,82,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys/objects - replaced for novelty","No exercise","Social","Restraint","restrained for 6hr/day for 21 days","Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","Radial arm maze","number of errors","count","no","Taken from block 8 - did not take 'stress (no gap)' as this additional treatment wasn't clearly described",2,"Fig. 4 b, block 8",12,0.44,NA,0.24,"0.07",NA,NA,13,0.54,NA,0.36,"0.1",NA,NA,9,1.94,NA,0.6,"0.2",NA,NA,9,0.71,NA,0.66,"0.22",NA,NA,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.643956936369174,0.0452653536636374,0.99476234731565,0.0452653536636374,-1.20997269466803,0.165622240522299,-1.20644154126106,7.91893856770159,1.78297112735041,7.91893856770159,-2.8399420351809,0.399403064949334,0.204794412646013,0.0589814226177863,1.48366852514507,0.0354215104405928,0.478490243123054,0.120806084323424,-1.00517828202201,0.106640817904513,0.273695830477041,0.130200730081706,0.643956936369174,-0.99476234731565,1.20997269466803,-0.204794412646013,-1.48366852514507,-0.478490243123054,1.00517828202201,-0.273695830477041,1.20644154126106,-1.78297112735041,2.8399420351809
"19",26,"Veena",2009,84,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys/objects - replaced for novelty","No exercise","Social","Restraint","restrained for 6hr/day for 21 days","Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","Radial arm maze","number of errors","count","no",NA,2,"Fig. 5b",12,1.02,NA,0.66,"0.19",NA,NA,13,0.81,NA,0.69,"0.19",NA,NA,9,2.48,NA,0.72,"0.24",NA,NA,9,1.01,NA,0.63,"0.21",NA,NA,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.653926467406664,0.0320352725887806,0.645585769361006,0.0320352725887806,-0.66778457071189,0.143306079190373,-1.24242454092917,8.39257038509866,1.22763377258478,8.39257038509866,-1.86363681139376,0.400427687593784,-0.230523658611832,0.0907097788745873,0.888455932880711,0.0442556712958796,-0.00985229644301164,0.0781214825377841,-0.898308229323723,0.0525963003157859,0.220671362168821,0.0990504078944936,0.653926467406664,-0.645585769361006,0.66778457071189,0.230523658611832,-0.888455932880711,0.00985229644301164,0.898308229323723,-0.220671362168821,1.24242454092917,-1.22763377258478,1.86363681139376
"20",29,"Bghagya",2017,93,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","ladders, tunnels etc","No exercise","Social","Restraint",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","T maze","Numeber of errors","count","no",NA,2,"Fig. 5b",12,2.51,NA,0.48,"0.14",NA,NA,12,2.48,NA,0.59,"0.17",NA,NA,12,4.42,NA,0.97,"0.28",NA,NA,12,2.43,NA,0.48,"0.14",NA,NA,"CC = control, EC = EE, CS = Stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.344585871395383,0.00403212630162117,0.316812742510707,0.00403212630162117,-0.586224245770348,0.0150290513373853,-1.5270637342354,14.0748752238351,1.40610819092962,14.0748752238351,-2.96341081099147,0.35762420467101,-0.0120241929668017,0.00776406607757433,0.565856942945914,0.00706101907407377,-0.0323914957912353,0.00629910753269999,-0.59824843873715,0.00726498525981101,-0.0203673028244337,0.00796803226331157,0.344585871395383,-0.316812742510707,0.586224245770348,0.0120241929668017,-0.565856942945914,0.0323914957912353,0.59824843873715,0.0203673028244337,1.5270637342354,-1.40610819092962,2.96341081099147
"21",29,"Bghagya",2017,92,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","ladders, tunnels etc","No exercise","Social","Restraint",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Appetitive","T maze","Number of days to get 80% correct","days","no",NA,2,"Fig. 5a",12,4.23,NA,0.73,"0.21",NA,NA,12,3.92,NA,0.73,"0.21",NA,NA,12,5.73,NA,1.8,"0.52",NA,NA,12,4.1,NA,0.8,"0.23",NA,NA,"CC = control, EC = EE, CS = Stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,-0.216638649718084,0.00468899373898795,0.187421006906304,0.00468899373898795,-0.258618217760571,0.0167680337403355,-0.872335315637008,4.64914675077844,0.755424397046481,4.64914675077844,-1.18709548107304,0.34126009273862,-0.0761103392558156,0.00537186029959401,0.303513537668462,0.0107053557030472,-0.0312150193479246,0.00565461157025731,-0.334728557016386,0.0113961734407415,0.044895319907891,0.00606267803728832,0.216638649718084,-0.187421006906304,0.258618217760571,0.0761103392558156,-0.303513537668462,0.0312150193479246,0.334728557016386,-0.044895319907891,0.872335315637008,-0.755424397046481,1.18709548107304
"22",2,"Berardo",2016,4,"Rat","Wistar",NA,"Male",3,"After isolation stress, animals were housed in groups of 4","Adolescent","at weaning/adolescence","Early postnatal","post-natal before weaning","Adolescent","during adolescence","Combination","multilevel, toys, running wheel","Exercise","Non-social","MS","maternal separation","Chronic","180mins daily for 21 days","Stress first","Learning","Conditioning","Aversive","Aversive conditioning to ethanol","amount of sodium chloride consumed during 30min","ml/100g","no",NA,2,"In text page 10",8,3.37,NA,0.85,"0.3",NA,NA,8,4.05,NA,2.29,"0.81",NA,NA,8,3.96,NA,1.3,"0.46",NA,NA,8,3.36,NA,1.78,"0.63",NA,NA,"CC = AFR-CTRL, EC = AFR=EE, CS = MS-CTRL, ES = MS-EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.0108549234094355,0.0247639867086078,-0.0135687292060689,0.0247639867086078,-0.348107188045454,0.0964685577470792,0.0243150985701426,0.127364896073903,-0.0303938732126781,0.127364896073903,-0.778083154244563,0.500009237875289,0.183804136754177,0.0479163963617874,0.161331280902119,0.0214234159906738,-0.00297177038915764,0.0430331735396224,-0.164303051291276,0.0485521613852918,-0.186775907143335,0.0750451417564054,-0.0108549234094355,0.0135687292060689,0.348107188045454,-0.183804136754177,-0.161331280902119,0.00297177038915764,0.164303051291276,0.186775907143335,-0.0243150985701426,0.0303938732126781,0.778083154244563
"23",3,"Blanco",2017,5,"Mouse","Swiss",NA,"Male",3,NA,"Adolescent","P21","Early postnatal","P53","Adolescent","P54","Combination","multilevel, toys, running wheel, drinking fountain, food dispenser, brush","Exercise","Non-social","Shock","light-dark box","Acute","shock","Stress first","Memory","Recognition","Not applicable","Novel object","Time spent exploring a novel object relative to nonnovel object","percent","yes","Only used black bars of object C (novel object)",1,"Fig. 5 b",25,64.83,NA,18.35,"3.67",NA,NA,25,71.25,NA,15.3,"3.06",NA,NA,25,73.09,NA,10.7,"2.14",NA,NA,25,76.76,NA,16.8,"3.36",NA,NA,"CC = control NoShock, EC = Enriched NoShock, CS = Control SR10, ES = Enriched SR10",3,NA,3,NA,NA,NA,NA,"N was divided equally between treatment combinations",NA,0.0551828559025154,0.00116951086352076,0.0755624293986989,0.00116951086352076,-0.0305658396998497,0.00475879670814609,0.321769279977373,1.33419336921446,0.440504079451448,1.33419336921446,-0.15357544729315,0.160517677347686,0.0710461477172578,0.00281750297899365,0.0912713430511981,0.0022394059828318,0.131751651068606,0.00307348747422238,0.040480308017408,0.00194129372915243,0.0607055033513484,0.00251939072531429,0.0551828559025154,0.0755624293986989,-0.0305658396998497,0.0710461477172578,0.0912713430511981,0.131751651068606,0.040480308017408,0.0607055033513484,0.321769279977373,0.440504079451448,-0.15357544729315
"24",4,"Castelhano-Carlos",2014,6,"Rat","Wistar","Wistar Han IGS","Male",3,NA,"Adult","9 weeks","Adult","9 weeks","Adult",NA,"Other","Phenoworld","Exercise","Non-social","Combination","confinement, noise, cage tilt, wet bedding, lighting, food and water deprivation","Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object","Time spent exploring a novel object relative to nonnovel object","percent","yes","Only used std(6) not std(2)",1,"Fig. 5 f",14,74.27,NA,13.99,"3.74",NA,NA,14,71.37,NA,12.42,"3.32",NA,NA,14,73.03,NA,12.42,"3.32",NA,NA,14,71.78,NA,7.78,"2.08",NA,NA,"CC = std(6), EC = Phw, CS = std(6) + CMS, ES = PhW + CMS",3,NA,3,"Only states at EE was random",NA,NA,NA,"N was calculated from df (((2 + 1 + 1) + 78)  + 1)  / 6",NA,-0.022834486797569,0.00122048097414937,-0.00467094401572525,0.00122048097414937,0.0181483055378602,0.00488046895714634,-0.174187898246707,0.283818538697807,-0.0356327602760795,0.283818538697807,0.13924030600908,0.285985191284782,-0.0318879169140918,0.00302632925963838,-0.0136415941933599,0.00302665503208481,-0.0273812055695916,0.00221712188354943,-0.0137396113762316,0.00185413969750796,0.00450671134450024,0.00185381392506152,-0.022834486797569,-0.00467094401572525,0.0181483055378602,-0.0318879169140918,-0.0136415941933599,-0.0273812055695916,-0.0137396113762316,0.00450671134450024,-0.174187898246707,-0.0356327602760795,0.13924030600908
"25",5,"Chen",2010,7,"Mouse","ICR",NA,"Male",3,NA,"Adolescent","just says 'weaned'","Adolescent","just says 'weaned'","Adult",NA,"Combination","nesting material, objects","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Recognition","Not applicable","Y-maze novel arm","Percent of novel arm visits","percent","yes","Only used white bars of 'novel arm'",1,"Fig. 3 a",12,38.22,NA,5.44,"1.57",NA,NA,12,39.01,NA,2.7,"0.78",NA,NA,11,35.08,NA,5.21,"1.57",NA,NA,11,46.07,NA,5.94,"2.1",NA,NA,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.0884660425015951,0.0005061546984314,0.0285751683516051,0.0005061546984314,0.150827223316402,0.00198210462550542,1.18492722163997,8.16042320547588,0.382963546617924,8.16042320547588,2.05014924476046,0.363746288925973,0.0120997433034053,0.000728089644907915,-0.0501346289441317,0.00126196877798649,0.112792337675675,0.00116768375705372,0.162926966619807,0.00125401498059751,0.10069259437227,0.000720135847518932,0.0884660425015951,0.0285751683516051,0.150827223316402,0.0120997433034053,-0.0501346289441317,0.112792337675675,0.162926966619807,0.10069259437227,1.18492722163997,0.382963546617924,2.05014924476046
"26",5,"Chen",2010,8,"Mouse","ICR",NA,"Male",3,NA,"Adolescent","just says 'weaned'","Adolescent","just says 'weaned'","Adult",NA,"Combination","nesting material, objects","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Recognition","Not applicable","Y-maze novel arm","percent duration of novel arm visits","percent","yes","Only used white bars of 'novel arm'",1,"Fig. 3 b,c",12,43.04,NA,9.77,"2.82",NA,NA,12,44.61,NA,7.62,"2.2",NA,NA,11,38.95,NA,9.39,"2.83",NA,NA,11,51.83,NA,6.22,"2.2",NA,NA,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.0996128212710974,0.0012137553487644,0.021005666375513,0.0012137553487644,0.154161100768312,0.00489977757749331,0.856596685555484,4.3062290319229,0.180775907905025,4.3062290319229,1.3407219361206,0.356460477633812,0.0218698349221538,0.00249933546009228,-0.0598834696109867,0.00343937429946436,0.116147466079479,0.00212939249324224,0.176030935690466,0.00240044211740102,0.0942776311573253,0.00146040327802895,0.0996128212710974,0.021005666375513,0.154161100768312,0.0218698349221538,-0.0598834696109867,0.116147466079479,0.176030935690466,0.0942776311573253,0.856596685555484,0.180775907905025,1.3407219361206
"27",7,"Menezes",2020,13,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Not applicable","Novel object","Percent time exploring novel object relative to nonnovel after 3h","percent","yes","Only used grey bars (novel objects)",1,"Fig. 2a",9,62.3,NA,26.97,"8.75",NA,NA,9,75.96,NA,11.77,"3.82",NA,NA,9,55.19,NA,28.63,"9.29",NA,NA,9,67.76,NA,20.22,"6.56",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,"n taken as averge of range",NA,0.147788964190623,0.0076159569814786,-0.0868300483166166,0.0076159569814786,-0.00751818959255107,0.0309666062026739,0.585258679332455,1.65248585891397,-0.344264804741639,1.65248585891397,-0.0803952692183033,0.449201773912972,0.151385480043654,0.0122771595982556,-0.0827939858834026,0.0235252941936772,0.0610733045677005,0.015955786485543,0.143867290451103,0.0186894466044183,-0.0903121754759537,0.00744131200899671,0.147788964190623,-0.0868300483166166,-0.00751818959255107,0.151385480043654,-0.0827939858834026,0.0610733045677005,0.143867290451103,-0.0903121754759537,0.585258679332455,-0.344264804741639,-0.0803952692183033
"28",7,"Menezes",2020,14,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Not applicable","Novel object","Percent time exploring novel object relative to nonnovel after 24h","percent","yes","Only used grey bars (novel objects)",1,"Fig. 2b",9,56.59,NA,10.17,"3.3",NA,NA,9,58.79,NA,27.09,"8.79",NA,NA,9,54.95,NA,55.88,"18.13",NA,NA,9,65.93,NA,44.04,"14.29",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,"n taken as averge of range",NA,0.0769029267138242,0.0224979889763423,0.0326482060314325,0.0224979889763423,0.100631090314437,0.0896062666114877,0.171562216447738,0.243562284617183,0.0728640810114046,0.243562284617183,0.229776573982336,0.444853244362673,0.0258143995737522,0.0126342306947347,-0.0195812712809098,0.0518700292437788,0.10686421860728,0.0283281253780867,0.12644548988819,0.076972035916753,0.0810498190335276,0.0377362373677089,0.0769029267138242,0.0326482060314325,0.100631090314437,0.0258143995737522,-0.0195812712809098,0.10686421860728,0.12644548988819,0.0810498190335276,0.171562216447738,0.0728640810114046,0.229776573982336
"29",7,"Menezes",2020,19,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","Mixed adolescent and adult (21 - 80), but mostly adolescence","Early postnatal","PND 1-10","Adult","PND 81","Objects","objects","No exercise","Non-social","MS",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze - cognitive flexibility","percent time in reversed quadrant","percent","yes","Only used blac bars (reversed quadrant)",1,"Fig. 1c",9,30.3,NA,18.18,"6.06",NA,NA,9,34.24,NA,9.09,"3.03",NA,NA,9,25.45,NA,8.19,"2.73",NA,NA,9,35.76,NA,5.46,"1.82",NA,NA,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,NA,3,NA,NA,NA,NA,NA,NA,0.130033185794735,0.00517304213169791,-0.0321289451943051,0.00517304213169791,0.122631963208255,0.0197926666302746,0.628241133743235,1.88720226068254,-0.155432780871934,1.88720226068254,0.570255860540974,0.449926207251764,0.0698247917237043,0.0154031221440872,-0.0974584353003929,0.0163062971685637,0.0949983196315664,0.0136714195043267,0.192456754931959,0.00438954448618741,0.025173527907862,0.00348636946171091,0.130033185794735,-0.0321289451943051,0.122631963208255,0.0698247917237043,-0.0974584353003929,0.0949983196315664,0.192456754931959,0.025173527907862,0.628241133743235,-0.155432780871934,0.570255860540974
"30",8,"Mitra",2009,20,"Rat","Wistar",NA,"Male",3,NA,"Adult","10 weeks","Adult","10 weeks","Adult","10 weeks","Combination","objects, food, nesting, cage complexity and size","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Learning","Conditioning","Aversive","context-dependent conditioning","percent of time freezing de to auditory context","percent","yes",NA,1,"Fig. 2 a",11,48.28,NA,27.6,"8.14",NA,NA,11,40.93,NA,29.64,"8.74",NA,NA,11,35.96,NA,28.96,"8.54",NA,NA,11,36.56,NA,11.43,"3.37",NA,NA,"CC = control non-enriched, EC = enriched control…",3,NA,3,NA,NA,NA,NA,"Other responses but graphs are unreadable and only test stats and P values presented",NA,-0.0492050239842124,0.0129212143261592,-0.123562733986962,0.0129212143261592,0.110949878273771,0.0519363533692694,-0.129869587742445,0.18367269492125,-0.325777486232852,0.18367269492125,0.307579138539014,0.363828023975232,-0.101292967762404,0.0288858740770815,-0.17776734482622,0.0317630607640474,-0.168110434314853,0.0147852083176212,0.00965691051136691,0.0230504792921878,-0.0668174665524493,0.020173292605222,-0.0492050239842124,-0.123562733986962,0.110949878273771,-0.101292967762404,-0.17776734482622,-0.168110434314853,0.00965691051136691,-0.0668174665524493,-0.129869587742445,-0.325777486232852,0.307579138539014
